21:38:11.367 |I| Launcher                       | :1                             | Checking if build hasn't expired.
21:38:11.384 |I| Launcher                       | :1                             | Starting RiderFlow frontend
21:38:11.395 |V| JetBrains.Threading.ByteBufferAsyncProcessor.ServerSocket-UnityServer-Sender | :1                             | PAUSE ('Disconnected') :: state=Initialized
21:38:11.398 |V| protocol.INIT                  | :1                             | Creating server socket on endpoint: 
21:38:11.413 |V| protocol.INIT                  | :1                             | Server socket created, listening started on endpoint: 127.0.0.1:0
21:38:11.414 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer : started, port: 51317
21:38:11.416 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:32 | ServerSocket-UnityServer : accepting, port: 51317
21:38:18.721 |I| Launcher                       | :1                             | Creating Root ScriptableObject
21:38:18.723 |V| JetBrains.RiderFlow.Core.Analytics.RiderFlowAnalytics | :1                             | Found 'analytics' in C:\Users\SolidP\AppData\Roaming\RiderFlow. Trying to extract use guid...
21:38:18.724 |V| JetBrains.RiderFlow.Core.Analytics.RiderFlowAnalytics | :1                             | Found uuid in 'analytics'.
21:38:18.725 |I| Launcher                       | :1                             | Subscribing for events
21:38:19.048 |I| JetBrains.RiderFlow.Core.Core.Caches.AssetPathCache.AssetPathService | :1                             | Started building search cache
21:38:19.057 |I| JetBrains.RiderFlow.Core.Core.Caches.AssetPathCache.AssetPathService | :1                             | Finished building search cache
21:38:19.858 |V| Launcher                       | :1                             | Ready!
