01:54:54.880 |I| Launcher                       | :1                             | Checking if build hasn't expired.
01:54:54.923 |I| Launcher                       | :1                             | Starting RiderFlow frontend
01:54:54.938 |V| JetBrains.Threading.ByteBufferAsyncProcessor.ServerSocket-UnityServer-Sender | :1                             | PAUSE ('Disconnected') :: state=Initialized
01:54:54.945 |V| protocol.INIT                  | :1                             | Creating server socket on endpoint: 
01:54:54.971 |V| protocol.INIT                  | :1                             | Server socket created, listening started on endpoint: 127.0.0.1:0
01:54:54.972 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer : started, port: 59862
01:54:54.975 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:28 | ServerSocket-UnityServer : accepting, port: 59862
01:55:08.186 |I| Launcher                       | :1                             | Creating Root ScriptableObject
01:55:08.202 |V| JetBrains.RiderFlow.Core.Analytics.RiderFlowAnalytics | :1                             | Found 'analytics' in C:\Users\ersul\AppData\Roaming\RiderFlow. Trying to extract use guid...
01:55:08.203 |V| JetBrains.RiderFlow.Core.Analytics.RiderFlowAnalytics | :1                             | Found uuid in 'analytics'.
01:55:08.203 |I| Launcher                       | :1                             | Subscribing for events
01:55:09.849 |I| JetBrains.RiderFlow.Core.Core.Caches.AssetPathCache.AssetPathService | :1                             | Started building search cache
01:55:09.863 |I| JetBrains.RiderFlow.Core.Core.Caches.AssetPathCache.AssetPathService | :1                             | Finished building search cache
01:55:10.198 |V| Launcher                       | :1                             | Ready!
