22:23:40.109 |I| Launcher                       | :1                             | Checking if build hasn't expired.
22:23:40.132 |I| Launcher                       | :1                             | Starting RiderFlow frontend
22:23:40.142 |V| JetBrains.Threading.ByteBufferAsyncProcessor.ServerSocket-UnityServer-Sender | :1                             | PAUSE ('Disconnected') :: state=Initialized
22:23:40.149 |V| protocol.INIT                  | :1                             | Creating server socket on endpoint: 
22:23:40.160 |V| protocol.INIT                  | :1                             | Server socket created, listening started on endpoint: 127.0.0.1:0
22:23:40.162 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer : started, port: 54899
22:23:40.163 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:30 | ServerSocket-UnityServer : accepting, port: 54899
22:23:47.221 |I| Launcher                       | :1                             | Creating Root ScriptableObject
22:23:47.223 |V| JetBrains.RiderFlow.Core.Analytics.RiderFlowAnalytics | :1                             | Found 'analytics' in C:\Users\SolidP\AppData\Roaming\RiderFlow. Trying to extract use guid...
22:23:47.223 |V| JetBrains.RiderFlow.Core.Analytics.RiderFlowAnalytics | :1                             | Found uuid in 'analytics'.
22:23:47.224 |I| Launcher                       | :1                             | Subscribing for events
22:23:47.366 |I| JetBrains.RiderFlow.Core.Core.Caches.AssetPathCache.AssetPathService | :1                             | Started building search cache
22:23:47.376 |I| JetBrains.RiderFlow.Core.Core.Caches.AssetPathCache.AssetPathService | :1                             | Finished building search cache
22:23:48.361 |V| Launcher                       | :1                             | Ready!
