02:27:05.869 |I| Launcher                       | :1                             | Checking if build hasn't expired.
02:27:05.883 |I| Launcher                       | :1                             | Starting RiderFlow frontend
02:27:05.893 |V| JetBrains.Threading.ByteBufferAsyncProcessor.ServerSocket-UnityServer-Sender | :1                             | PAUSE ('Disconnected') :: state=Initialized
02:27:05.897 |V| protocol.INIT                  | :1                             | Creating server socket on endpoint: 
02:27:05.905 |V| protocol.INIT                  | :1                             | Server socket created, listening started on endpoint: 127.0.0.1:0
02:27:05.910 |V| JetBrains.Rd.Impl.SocketWire+Server | :1                             | ServerSocket-UnityServer : started, port: 50573
02:27:05.912 |V| JetBrains.Rd.Impl.SocketWire+Server | ServerSocket-UnityServer-Receiver:22 | ServerSocket-UnityServer : accepting, port: 50573
02:27:12.664 |I| Launcher                       | :1                             | Creating Root ScriptableObject
02:27:12.666 |V| JetBrains.RiderFlow.Core.Analytics.RiderFlowAnalytics | :1                             | Found 'analytics' in C:\Users\ersul\AppData\Roaming\RiderFlow. Trying to extract use guid...
02:27:12.667 |V| JetBrains.RiderFlow.Core.Analytics.RiderFlowAnalytics | :1                             | Found uuid in 'analytics'.
02:27:12.667 |I| Launcher                       | :1                             | Subscribing for events
02:27:13.466 |I| JetBrains.RiderFlow.Core.Core.Caches.AssetPathCache.AssetPathService | :1                             | Started building search cache
02:27:13.474 |I| JetBrains.RiderFlow.Core.Core.Caches.AssetPathCache.AssetPathService | :1                             | Finished building search cache
02:27:13.846 |V| Launcher                       | :1                             | Ready!
02:27:41.427 |W| JetBrains.RiderFlow.Core.Infrastructure.Tools.DownloadTools | Thread Pool Worker:6           | D:\github\TheMirror\mirror\Library\RiderFlow\2023.1.0.21\Backend.zip.tmp file already exists. Deleting it.
